name,short_description,pix_total,image_src
Vinho Tinto Philosophia Cabernet Franc 2022 - 750ml,"Cabernet Franc elegante, aromas de frutas vermelhas, ervas e leve toque de grafite. Corpo médio e frescor marcante. Harmoniza com grelhados, massas ao ragu e queijos semiduros.",225.6,https://cdn.dooca.store/158171/products/xpsazepql6xipuo6kian3tbvhar0bwofxvoq.jpg?v=1748025957
Vinho Branco Casa Venturini Chardonnay Reserva 2023,"Aromas de frutas tropicais maduras, abacaxi, pêssego, baunilha e flores brancas. Ideal para acompanhar carnes brancas, peixes, queijos leves, saladas e canapés.",81.6,https://cdn.dooca.store/158171/products/wihdyvfoapdwe8g574pygcohzkvbfh6x2zar.jpg?v=1722766681
Vinho Tinto Casa Venturini Tannat Reserva 2020,"Vinho Tinto Tannat envelhecido em barricas de carvalho americano, cultivado na Campanha Gaúcha. Ideal para acompanhar grelhados, carnes exóticas, queijos fortes e 
molhos condimentados.",91.2,https://cdn.dooca.store/158171/products/n6i7curpucfcfqbrgtk518fj9itcxybadirl.jpg?v=1722764295
Vinho Tinto Concreto Cabernet Franc & Syrah 2023,"Tinto vibrante com aromas de frutas vermelhas e taninos macios, perfeito para grelhados e risotos.",130.56,https://cdn.dooca.store/158171/products/loea858on1kog5srurqozs8czayvckc3us1p.jpg?v=1722640512
Vinho Branco Maestria Chardonnay 2024,"Elegante Chardonnay com notas de frutas tropicais e baunilha, ideal para pratos de peixes, aves assadas e massas com molho branco.",188.16,https://cdn.dooca.store/158171/products/maestria.jpg?v=1754515618
Philosophia Reserva de Família 85 anos - 750ml,"Aromas de frutas vermelhas, chocolate branco e especiarias, com um corpo volumoso e taninos maduros. Ideal para harmonizar com queijos maturados, carnes vermelhas, caças, massas e risotos bem condimentados.",595.2,https://cdn.dooca.store/158171/products/djxjesmm3u9whocibngruc7vnxjcffgnj6kq.jpg?v=1722640466
Vinho Tinto Góes 2000 Blend 2023,"Blend elegante e equilibrado de Malbec, Cabernet Franc e Tannat, com notas frutadas e taninos macios, perfeito para harmonizar com embutidos e massas.",56.16,https://cdn.dooca.store/158171/products/dbkq3t7z6j6gvqzolirtpaoojiit64y0fkch.jpg?v=1722640526
Vinho Licoroso Edição Especial Gumercindo de Góes 2011,"Vinho licoroso complexo e elegante, com notas de uva passa, mel e especiarias, ideal para queijos azuis e sobremesas com castanhas.",220.8,https://cdn.dooca.store/158171/products/tlnqtn2lhovzwmzlfshfwkyecjamfzluw4mn.jpg?v=1722693912
Vinho Tinto Simis Carménère Reserva 2019,"Carménère frutado com notas de cereja, pimenta e chocolate, perfeito para pizzas e carnes na brasa.",92.16,https://cdn.dooca.store/158171/products/pr6hivs0nbip9feccfcb1cmaniy91vw5lzgh.jpg?v=1722542894
Vinho Tinto Tempos de Góes Míneres Syrah 2022,"Elegante Syrah com notas frutadas e especiarias, perfeito para filé-mignon, pato assado e queijos fortes.",103.68,https://cdn.dooca.store/158171/products/vh4qccix9631sqyoogzaagwxzjvs6lvvzhey.jpg?v=1722535663
Vinho Rosé Góes Tempos Pétalas Cabernet Franc 2023,"Delicados aromas de frutas vermelhas e toques florais, perfeito para massas, risotos e carnes brancas.",62.4,https://cdn.dooca.store/158171/products/dne7b7kp0yy0dggetftbwuegpfjjz4kbonzf.jpg?v=1722640506
Vinho Branco Tempos de Góes Sauvignon Blanc Reserva 2024,"Fresco e frutado, ideal para saladas, pratos vegetarianos e frutos do mar. Harmoniza perfeitamente com saladas (sem vinagre), pratos vegetarianos com grãos e ervas, tortas salgadas, peixes grelhados  acompanhados de legumes, carne de porco assada com alecrim e alho, espaguete alho e óleo ou brócolis, bacalhau assado e risotos de frutos do mar.",94.08,https://cdn.dooca.store/158171/products/omf0qqot68tjb1rwycw4ktb5nrfzi7zdk796.jpg?v=1754433118
Vinho Tinto Tempos de Góes Tannat Reserva 2023,"Aromas de frutas vermelhas e especiarias, taninos firmes, ideal para grelhados e queijos fortes. É ideal para ser servido entre 16ºC a 18ºC, harmonizando perfeitamente com grelhados, carnes exóticas, queijos fortes e molhos condimentados.",94.08,https://cdn.dooca.store/158171/products/0jku3pabhtem1houcu6nvk7rjbkcz5q3ar6o.jpg?v=1722526922
Vinho Tinto Tempos de Góes Malbec Reserva 2023,"Aromas de frutas vermelhas, taninos equilibrados, perfeito para aperitivos e sobremesas. Harmoniza perfeitamente com aperitivos como bolinho de carne seca, churrasco com molho adocicado, linguiças apimentadas, massas como rondelli recheado ao molho rosé e até sobremesas como cheese cake de frutas vermelhas.",86.4,https://cdn.dooca.store/158171/products/ypsk3wmnhrugh602utkitrecamiblwhkggce.jpg?v=1722526087
Góes Lotes de Coleção Touriga Nacional 2023,"Aromas de frutas negras e mentol, com paladar macio e taninos finos. Este vinho é um sucesso no churrasco, combinando bem com carnes na grelha, uma tábua de frios e queijos, especialmente parmesão, e massas com molhos vermelhos encorpados.",122.88,https://cdn.dooca.store/158171/products/2wuqp4za7ghgnvz6gvgrxhfq1600wahxo4jj.jpg?v=1722640456
Góes Lotes de Coleção Tinta Roriz 2023 - 750ml,"Aromas de frutas negras frescas e especiarias, com bom corpo e final longo. É muito versátil, harmonizando perfeitamente com bacalhoada ao forno, picadinho de carne com legumes, massa com molho de cogumelos, carne de cordeiro assada e queijo brie.",122.88,https://cdn.dooca.store/158171/products/lotescolecao-tintaroriz.jpg?v=1722693777
Góes Lotes de Coleção Petit Verdot 2023,"Aromas de groselha, violetas e especiarias, com um paladar macio e taninos agradáveis. Ideal para harmonizar com frios defumados, churrasco com molho adocicado, linguiças grelhadas com ervas e alho, queijos fortes como gorgonzola e risoto de linguiça com ervas.",122.88,https://cdn.dooca.store/158171/products/lotescolecao-petitverdot.jpg?v=1728409071
Góes Lotes de Coleção Verdelho 2023 - 750ml,"Aromas de pera doce, abacaxi e maçã verde, com textura macia e boa acidez. É perfeito para harmonizar com ostras, bolinho de bacalhau, sardinhas grelhadas, pratos nordestinos como casquinha de siri e caldinho de sururu, além de pratos asiáticos.",122.88,https://cdn.dooca.store/158171/products/jeg4fzumiyntm3inadinqoyrapwkxni8osjo.jpg?v=1722640461
Vinho Tinto Góes Tradição Bordô Suave 1 Litro,"Aroma típico das uvas, paladar suave e coloração rubi intensa, ideal para harmonizar com carnes vermelhas, massas e queijos.",25.82,https://cdn.dooca.store/158171/products/9qsd01x7ovgcgkdpw82jzo7ntqdx8ouycwf3.jpg?v=1723545722
Vinho Tinto Góes Tradição Bordô Seco 1 Litro,"DESCONTO PROGRESSIVO1 a 3 GARRAFAS = 5%OFF4+ GARRAFAS = 10%OFFIdeal para acompanhar carnes vermelhas, massas com molhos robustos e queijos de sabor marcante.",25.82,https://cdn.dooca.store/158171/products/wnb4ibqbahlttmtxjmdvjgdfrn5hcjh1v7d7.jpg?v=1723545993
Vinho Branco Góes Tradição Seco,"DESCONTO PROGRESSIVO1 a 3 GARRAFAS = 5%OFF4+ GARRAFAS = 10%OFFAromas acentuados e paladar definido, ideal para harmonizar com carnes brancas, peixes e queijos leves.",21.02,https://cdn.dooca.store/158171/products/jwzvq0pzf7hvfz7mjldr48adjhwztdd47ugr.jpg?v=1723503474
Vinho Tinto Góes Tradição Bordô Suave,"Aromas intensos e paladar suave com a profundidade do rubi, ideal para carnes, massas e queijos.",19.2,https://cdn.dooca.store/158171/products/stiosdee553pxevisvdlarz7tandsboelvuo.jpg?v=1723485548
Vinho Rosado Góes Tradição Licoroso Doce,"Doce e encorpado, com aromas delicados, perfeito para sobremesas ou como aperitivo.",21.02,https://cdn.dooca.store/158171/products/3q5pfp6lvjqz6caunekweddi2wod9bagtskn.jpg?v=1723484285
Vinho Tinto Góes Tradição Bordô Seco,"DESCONTO PROGRESSIVO1 a 3 GARRAFAS = 5%OFF4+ GARRAFAS = 10%OFFIntenso aroma de frutas vermelhas, sabor equilibrado e perfeito para harmonizar com carnes vermelhas e queijos.",21.02,https://cdn.dooca.store/158171/products/pdzl4paivxnkvzlsprmhuybvbypzh4w56pq4.jpg?v=1723479067
Vinho Branco Góes Tradição Suave,"Aromas intensos, sabores suaves e harmonização perfeita para carnes brancas e queijos leves.",21.02,https://cdn.dooca.store/158171/products/lticf8oonuwvpzkvud3s3ins4ikyup1idklf.jpg?v=1723477905
Vinho Tinto Tempos de Góes Clássico Cabernet Sauvignon Seco,"Ideal para acompanhar carnes vermelhas com pouco tempero, massas como
 fusilli e spaghetti ao molho marinara ou bolonhesa, peixe assado, 
queijos e canapés.",36.48,https://cdn.dooca.store/158171/products/3ir2s9ijuha4ts1eh4vmibt5vwxu8u04sha4.jpg?v=1723289732
Vinho Tinto Tempos de Góes Reservado Cabernet Sauvignon Suave,"Perfeito para acompanhar carnes vermelhas com pouco tempero, massas 
como fusilli e spaghetti ao molho marinara ou bolonhesa, peixe assado, 
queijos e canapés.",36.48,https://cdn.dooca.store/158171/products/1bhhzxbegypwghxymez7qewhh4cs8dkdfxbz.jpg?v=1723288848
Vinho Branco Tempos de Góes Trópicos Lorena Seco,"Ideal para acompanhar pratos leves, como peixes e queijos suaves, realçando seu caráter refrescante.",32.64,https://cdn.dooca.store/158171/products/rh3luww894xmvhdgvhiuvogjisuakqrip1k8.jpg?v=1723288562
Vinho Tinto Tempos de Góes Reservado Cabernet Sauvignon Demi-Sec,"Ideal para acompanhar carnes vermelhas com pouco tempero, massas como fusilli e spaghetti ao molho marinara ou bolonhesa, peixe assado, queijos e canapés.",36.48,https://cdn.dooca.store/158171/products/zeewgngxpvw8qb9lznedclz9ldlxhjdynr8p.jpg?v=1723288173
Vinho Tinto Góes Quinta dos Vinhedos Seco,"Tinto seco com frutas maduras e toque de especiarias. Taninos macios e boa persistência. Perfeito para massas, pizzas e queijos.",18.14,https://cdn.dooca.store/158171/products/0eemlgo1erbjwib5eky0mwlqdv5mv4bog6cd.jpg?v=1722821877
Vinho Tinto Góes Quinta dos Vinhedos Suave,"Vinho Tinto suave com cortes de Bordô e predominância de Isabel, aroma frutado, ideal para carnes vermelhas, massas e queijos.",18.14,https://cdn.dooca.store/158171/products/azgnz1mbkegthwlsufwd8yqzbqxvunst0bwj.jpg?v=1722821373
Vinho Tinto Quinta Jubair Bordô Demi-sec,"Vinho Tinto 100% Bordô, meio seco e equilibrado, com aroma de frutas vermelhas, ideal para carnes vermelhas, massas e queijos.",28.32,https://cdn.dooca.store/158171/products/r5i3yvw6kvb6i6cssjwzxhzvcmytb926opu7.jpg?v=1722820586
Vinho Tinto Quinta Jubair Bordô Seco,"Vinho Tinto 100% Bordô, equilibrado e estruturado, com aroma de frutas vermelhas, ideal para carnes vermelhas, massas e queijos.",28.32,https://cdn.dooca.store/158171/products/ifdb2oxo8j6zaho5tdf2mafflwyaubzd9eft.jpg?v=1722819625
Vinho Tinto Quinta Jubair Bordô Suave,"Vinho Tinto 100% Bordô, suave, doce e bem estruturado, com aroma de frutas vermelhas, ideal para carnes vermelhas, massas e queijos.",28.32,https://cdn.dooca.store/158171/products/dzt5al9r32sdvabjihuoghcia6pt7xbeoycy.jpg?v=1722819343
Kit Quinta Jubair Bordo Suave com 1 Taça,,51.84,https://cdn.dooca.store/158171/products/kit-jubair.png?v=1729611046
Kit Tradição Bordo Tinto Suave com 1 Taça,O Kit Tradição Bordô Tinto Suave contém:- 1 Garrafa do Vinho Tinto de Mesa Góes Tradição Bordô Suave - 750ml- 1 Embalagem para Presente- 1 Taça de vidro personalizada,46.08,https://cdn.dooca.store/158171/products/kit-tradicao.png?v=1729611015
Vinho Tinto Góes Tradição Bordô Suave Edição Especial - 269ml,"Bordô suave e aromático, com notas de uva madura e flores. Doçura leve e refrescância. Ótimo para sobremesas e queijos leves. Formato individual de 269 ml.",10.56,https://cdn.dooca.store/158171/products/excqtd8bxpkejq3d7srfos2fszuf2kqbbxun.jpg?v=1741865471
Kit Tempos de Góes Trópicos Lorena Branco Seco com 1 Taça,"Kit com o branco Lorena seco, aromático e fresco (frutas tropicais e flores), acompanhado de 1 taça. Ideal para entradas, peixes e saladas.",52.8,https://cdn.dooca.store/158171/products/rbwv7spxwms9zhxbgldkmoo9sq7q2bthnvhf.jpg?v=1724681329
Kit Tempos de Góes Reservado Cabernet Sauvignon Suave com 1 Taça,Tinto suave de Cabernet Sauvignon com frutas maduras e doçura equilibrada. Acompanha 1 taça. Indicado para momentos descontraídos e sobremesas leves.,55.68,https://cdn.dooca.store/158171/products/asi2logo0f3guki9cnyfyyhqq0muhgk4o7j2.jpg?v=1724681249
Kit Tempos de Góes Reservado Cabernet Sauvignon Demi Sec com 1 Taça,"Cabernet Sauvignon demi‑sec, macio e frutado, com leve doçura. Inclui 1 taça. Vai bem com carnes brancas, massas leves e queijos.",55.68,https://cdn.dooca.store/158171/products/4oyr70rlc5og3ayggrjazhx1v8hmj1ugiins.jpg?v=1724681146
Kit Tempos de Góes Moscato e Cabernet Sauvignon Rosé Demi-Sec com 1 Taça,"Rosé demi‑sec de Moscato e Cabernet, aromas florais e de frutas vermelhas. Versátil para entradas e brunch. Kit acompanha 1 taça.",50.11,https://cdn.dooca.store/158171/products/mcvtxeylxrpcy5j83sbsyk6asryjnep6m3e3.jpg?v=1724680252
